cue,R1
way,path
parent,father
month,moon
part,piece
father,dad
office,chair
area,maths
money,coins
force,police
child,mother
state,country
year,time
story,book
history,book
morning,sun
mother,other
head,ache
family,vacation
number,letter
day,night
company,acquire
line,forgo
place,put
party,politics
woman,man
case,brief
girl,female
door,close
face,intimate
life,love
member,penis
end,over
service,military
work,play
country,land
city,suburb
word,
friend,people
back,front
night,velvet
law,police
right,left
idea,thought
house,live
moment,time
guy,man
health,life
week,seven days
minute,detail
game,over
community,group
kid,gloves
hour,
time,zone
name,tag
question,how meany
hand,at
hour,wolf
kind,nice
job,career
side,sunny
change,vital
problem,solved
eye,lid
eye,opener
kid,love
morning,alone
power,of one
result,good
level,even
history,repeats
reason,being
father,mother
idea,bright
student,me
people,humans
health,well-being
life,vest
study,erudite
service,self
point,me
month,period
state,new
head,shoulders
week,today
year,2000
game,boy
thing,green
question,time
money,bear
law,court
number,letter
hand,by
end,the
air,lift
country,my
system,shock
school,education
place,where
child,parent
kind,nice
woman,man
team,sport
business,work
house,home
office,work
war,angst
work,drudgery
name,Colleen
area,geometry
case,closure
minute,second
night,evening
fact,fiction
moment,in a
member,politics
girl,boy
side,sideways
change,good
back,hand
back,forth
time,flies
word,saying
word,sentence
time,ticking
name,loud
water,aqua
law,books
reason,why
head,bed
force,field
level,stage
way,down
people,group
life,kind
group,coupon
team,win
business,work
girl,woman
woman,girl
war,violence
end,finish
kind,nice
area,space
guy,dude
case,study
minute,small
day,one
work,job
community,church
study,school
power,strength
hand,finger
school,high
thing,wild
week,Monday
year,day
problem,solver
service,help
story,key
result,test
book,Harry Potter
friend,Rachel
health,wealth
company,friends
night,dark
research,study
lot,acreage
idea,thought
person,or persons
question,answer
month,day
parent,caregiver
face,off
air,plane
party,whip
right,wrong
change,coins
hour,long
eye,lashes
room,cozy
game,board
kid,child
country,pride
home,house
morning,application
part,whole
number,addition
art,paint
moment,second
state,America
body,heart
place,area
morning,good
house,home
door,closed
history,story
health,good
force,Jedi
way,street
book,novel
room,space
school,day
guy,girl
game,play
car,truck
law,lawyer
law,lawyer
back,front
case,study
house,home
office,work
week,seven
day,night
member,party
party,animal
father,dad
night,day
hand,handsome
world,globe
child,baby
kid,rock
study,journal
side,building
fact,truth
community,hall
issue,magazine
parent,mother
year,of
research,journals
art,beauty
right,wrong
company,friend
area,square
man,boy
level,school
lot,cattle
reason,understand
work,play
story,book
air,magic
minute,time
problem,challenge
war,death
result,goal
student,teacher
number,one
woman,man
thing,it
kind,mothers
part,hair
face,visage
water,drink
hour,glass
money,make
system,nerves
country,land
power,greed
point,pen
name,rose
change,management
end,bottom
eye,catching
moment,time
state,police
idea,thought
word,association
lot,plenty
air,breathe
company,visitors
night,owl
office,worker
book,read
fact,truth
part,slice
war,death
day,night
idea,thought
child,baby
hand,made
country,Australia
point,sharp
water,H2O
head,headache
time,table
issue,problem
business,serious
back,front
kind,nice
friend,girl
house,home
state,mind
school,kids
eye,patch
power,politics
kid,child
month,August
parent,mum
way,far a
game,board
money,excitement
change,clothes
right,wrong
moment,minute
case,suitcase
health,wellbeing
city,town
member,committee
man,woman
world,government
mother,mom
father,dad
door,close
thing,dealing
woman,female
name,thing
week,end
body,human
study,books
guy,girl
level,even
area,square
family,friends
question,answer
line,Coke
art,critic
research,methods
community,culture
reason,think
system,set up
history,story
person,one
service,public
face,beauty
job,Gob
work,leisure
team,sport
home,ground
way,road
face,face to face
kind,generous
life,fulfillment
city,New York
time,timetable
house,home
air,plane
story,tale
family,want
car,car seat
job,work
idea,concept
person,people
body,type
work,ugh
morning,hi
country,city
school,home
door,open
game,baseball
water,running
question,knowledge
year,age
lot,many
force,powerful
health,wellbeing
company,family
hour,minute
book,read
day,week
point,empty
level,even
mother,old
girl,boy
word,plagiarize
fact,fun
number,one
father,dad
member,association
night,evening
history,past
child,baby
law,order
parent,trap
guy,handsome
group,out group
part,heart
line,point
name,tame
case,brief
service,personnel
problem,no
kid,child
team,members
money,green
reason,reason
minute,second
world,green
friend,best
moment,time
change,confuse
side,dish
eye,ball
issue,tissue
week,day
room,space
man,strong
research,mr. Shane
body,parts
art,part
time,clock
air,sky
way,no
problem,dilemma
people,culture
thing,person
girl,boy
change,world
day,night
man,male
kid,child
reason,why
world,earth
job,money
war,peace
place,time
guy,girl
year,month
result,test
door,handle
fact,fiction
parent,dad
part,slice
lot,allotment
country,Australia
business,work
kind,happy
end,final
month,year
office,work
life,question
city,streets
book,read
woman,girl
moment,time
week,day
state,territory
team,work
car,drive
back,forward
line,straight
morning,evening
force,physics
level,up
game,awesome
water,daughter
friend,kind
member,internet
story,family
question,answer
side,sideways
night,time
point,guard
face,eyes
minute,hour
word,association
head,
study,room
child,adolescent
person,circle
school,circle
area,large
law,justice
hour,time
issue,paper
company,friends
right,correct
history,past
system,manager
house,home
eye,see
service,fast-food
mother,father
group,crowd
student,teacher
name,title
idea,thought
family,friends
room,bed
work,job
work,out
word,dictionary
part,half
fact,fiction
girl,boy
history,book
student,teacher
guy,girl
service,friendly
home,heart
back,aback
group,team
idea,thought
health,happiness
world,view
level,on
father,holy
life,long
war,peace
power,Kanya West
art,school
book,read
country,state
study,hard
community,organizer
head,ache
house,home
law,
person,nice
body,fat
place,park
school,child
name,title
research,read
case,closed
time,lose
month,year
end,beginning
problem,class
system,systematic
team,sports
child,kid
side,long
area,59
state,union
question,answer
city,urban
water,home
family,care
hour,business
