cue,R1
way,path
month,moon
part,piece
area,maths
money,coins
child,mother
state,country
year,time
story,book
mother,other
family,vacation
number,letter
day,night
company,acquire
place,put
woman,man
case,brief
life,love
work,play
country,land
word,
night,velvet
right,left
week,seven days
time,zone
question,how meany
hand,at
job,career
problem,solved
eye,lid
eye,opener
student,me
people,humans
life,vest
study,erudite
point,me
month,period
state,new
week,today
year,2000
thing,green
question,time
money,bear
number,letter
hand,by
country,my
system,shock
school,education
place,where
child,parent
woman,man
business,work
work,drudgery
area,geometry
case,closure
night,evening
fact,fiction
time,flies
word,saying
word,sentence
time,ticking
water,aqua
way,down
people,group
life,kind
group,coupon
business,work
woman,girl
area,space
case,study
day,one
work,job
study,school
hand,finger
school,high
thing,wild
week,Monday
year,day
problem,solver
story,key
book,Harry Potter
company,friends
night,dark
lot,acreage
question,answer
month,day
right,wrong
eye,lashes
room,cozy
country,pride
home,house
part,whole
number,addition
state,America
place,area
way,street
book,novel
room,space
school,day
case,study
week,seven
day,night
night,day
hand,handsome
world,globe
child,baby
study,journal
fact,truth
issue,magazine
year,of
right,wrong
company,friend
area,square
man,boy
lot,cattle
work,play
story,book
problem,challenge
student,teacher
number,one
woman,man
thing,it
part,hair
water,drink
money,make
system,nerves
country,land
point,pen
eye,catching
state,police
word,association
lot,plenty
company,visitors
night,owl
book,read
fact,truth
part,slice
day,night
child,baby
hand,made
country,Australia
point,sharp
water,H2O
time,table
issue,problem
business,serious
state,mind
school,kids
eye,patch
month,August
way,far a
money,excitement
right,wrong
case,suitcase
man,woman
world,government
mother,mom
thing,dealing
woman,female
week,end
study,books
area,square
family,friends
question,answer
system,set up
job,Gob
work,leisure
home,ground
way,road
life,fulfillment
time,timetable
story,tale
family,want
job,work
work,ugh
country,city
school,home
water,running
question,knowledge
year,age
lot,many
company,family
book,read
day,week
point,empty
mother,old
word,plagiarize
fact,fun
number,one
night,evening
child,baby
group,out group
part,heart
case,brief
problem,no
money,green
world,green
eye,ball
issue,tissue
week,day
room,space
man,strong
time,clock
way,no
problem,dilemma
people,culture
thing,person
day,night
man,male
world,earth
job,money
place,time
year,month
fact,fiction
part,slice
lot,allotment
country,Australia
business,work
month,year
life,question
book,read
woman,girl
week,day
state,territory
water,daughter
story,family
question,answer
night,time
point,guard
word,association
study,room
child,adolescent
school,circle
area,large
issue,paper
company,friends
right,correct
system,manager
eye,see
mother,father
group,crowd
student,teacher
family,friends
room,bed
work,job
work,out
word,dictionary
part,half
fact,fiction
student,teacher
home,heart
group,team
world,view
life,long
book,read
country,state
study,hard
place,park
school,child
case,closed
time,lose
month,year
problem,class
system,systematic
child,kid
area,59
state,union
question,answer
water,home
family,care
issue,matter
man,woman
story,teller
right,wrong
eye,ball
mother,father
people,friends
point,sharp
hand,shake
job,crushing
week,meek
night,all through the
way,direction
number,letter
year,birthday
lot,many
money,greed
day,week
business,way
student,me
job,career
home,here
point,click
place,people
eye,candy
school,fun
group,fun
world,war
problem,student
state,union
child,mine
system,of
day,night
company,alone
way,right
area,Dublin
woman,wife
people,life
work,play
right,wrong
